"Category","Restaurant.Address","Restaurant.Name","Restaurant.Price.Range","Review.Rate","location"
5,"Eaton Centre
220 Yonge St
Toronto, ON M5B 2L7","Amaya Express",2,0.1,"43.654067, -79.380082"
6,"808 York Mills Rd
Toronto, ON M3B","Mamma’s Pizza",2,0.9,"43.754089, -79.357989"
3,"1801 Lawrence Avenue E
Toronto, ON M1R 2X9","Pizza Land",2,3.2,"43.742424, -79.305327"
7,"1835 Yonge Street
Suite 101
Toronto, ON M4S 1X8","Bikkuri Japanese Restaurant",2,4.4,"43.696722, -79.395775"
2,"3838 Midland Avenue
Toronto, ON M1V","Dong Kee",2,3.5,"43.819195, -79.295442"
12,"630 St Clair Avenue W
Toronto, ON M6C 1A9","Green Pepper",1,4.9,"43.682309, -79.42383"
9,"872 Bloor Street W
Toronto, ON M6G 1M5","La Bella Managua",2,2.7,"43.662231, -79.42499"
8,"700 Bloor St W
Toronto, ON M6G","Owl of Minerva",2,1.2,"43.663956, -79.41755"
2,"434 College St
Toronto, ON M4W 1A7","Nirvana",2,4.7,"43.656571, -79.40712"
7,"1314 Queen Street W
Toronto, ON M6K 1L4","Guu Izakaya Toronto",2,0.5,"43.641867, -79.43109"
3,"35 Eglinton Avenue E
Toronto, ON M4P 1A1","A&W",1,1.4,"43.706744, -79.397141"
